title,firstname,lastname,city,address1,state,zipcode,country,email,phone,company,website,facebook,twitter,ip
Mr.,Willie,Perez,Albuquerque,3683 Byrd Lane,NM,87112,United States,WillieJPerez@jourrapide.com,505-292-1492,Crandall's Fine Furniture,ThermalNetworks.com,WillieJPerez,WillieJPerez,211.124.214.94
Mr.,Marvin,Patterson,TREFNANNEY,40 Glandovey Terrace,,SY22 2AD,United Kingdom,MarvinPPatterson@jourrapide.com,079 4031 1312,Chi-Chi's,FabulousSeats.co.uk,MarvinPPatterson,MarvinPPatterson,240.51.62.57
Ms.,Rosemary,Salinas,Brakpan,2131 Hoog St,Gauteng,1544,South Africa,RosemaryKSalinas@superrito.com,083 893 4273,Omni Tech,RegionHotels.co.za,RosemaryKSalinas,RosemaryKSalinas,189.86.78.59
Mr.,Paul,Wilson,Petit,244 Hoog St,Gauteng,1512,South Africa,PaulDWilson@superrito.com,085 388 8905,Magna Solution,WebDivorces.co.za,PaulDWilson,PaulDWilson,89.46.89.21
Ms.,Roxie,Shaw,RHAOINE,97 Boat Lane,,IV28 9UH,United Kingdom,RoxieLShaw@fleckens.hu,079 6441 8665,Old America Stores,WifeReplacement.co.uk,RoxieLShaw,RoxieLShaw,211.111.137.180
Ms.,Angie,Robles,Stoney Creek,2393 Barton Street,ON,L8G 2V1,Canada,AngieHRobles@einrot.com,905-573-0032,Pro Garden Management,EscrowWireless.ca,AngieHRobles,AngieHRobles,2.227.195.136
Mrs.,Charlotte,Fender,Des Moines,113 Nutters Barn Lane,IA,50313,United States,CharlotteAFender@einrot.com,515-729-9343,CSK Auto,AffordableIncentive.com,CharlotteAFender,CharlotteAFender,194.85.219.26
Mrs.,Lashawnda,Joseph,LYDFORD-ON-FOSSE,43 South Crescent,,TA11 7UU,United Kingdom,LashawndaDJoseph@gustr.com,070 1704 6116,Tam's Stationers,MakeupDiscounts.co.uk,LashawndaDJoseph,LashawndaDJoseph,211.167.170.168
Mrs.,Helen,Manley,Creighton,339 Impala St,KwaZulu-Natal,3263,South Africa,HelenPManley@dayrep.com,082 107 6053,Farrell's Ice Cream Parlour,BankingVentures.co.za,HelenPManley,HelenPManley,36.129.7.21
Ms.,Annie,Richarson,Adrian,40 Amethyst Drive,MI,49221,United States,AnnieARicharson@armyspy.com,517-266-4755,Bodega Club,GolfCleaners.com,AnnieARicharson,AnnieARicharson,179.68.77.113
Ms.,Mary,Nevarez,AITH,76 Asfordby Rd,,ZE2 4FH,United Kingdom,MaryWNevarez@armyspy.com,077 8292 2559,Builders Square,JollyForum.co.uk,MaryWNevarez,MaryWNevarez,153.154.172.242
Mr.,David,Fahy,NEW ULVA,28 Lairg Road,,PA31 8WG,United Kingdom,DavidEFahy@dayrep.com,079 7960 8698,Bumper to Bumper Auto Parts,SearchWealth.co.uk,DavidEFahy,DavidEFahy,199.7.8.156
Mr.,Aaron,Guild,EWLOE,86 Wrexham Rd,,CH5 9LB,United Kingdom,AaronMGuild@rhyta.com,070 8638 9402,Scotty's Builders Supply,MobLag.co.uk,AaronMGuild,AaronMGuild,90.41.142.23
Mr.,Lee,Cole,Marble Hall,1969 Dikbas Road,Mpumalanga,451,South Africa,LeeACole@fleckens.hu,085 470 6278,Checker Auto Parts,BadProtection.co.za,LeeACole,LeeACole,209.183.6.82
Mr.,Matthew,Dell,Aberdeen,1087 Hartway Street,SD,57401,United States,MatthewSDell@armyspy.com,605-790-9178,Wealthy Ideas,FireGourd.com,MatthewSDell,MatthewSDell,92.90.197.187
Ms.,Raquel,O'Sullivan,Windsor,1227 Goyeau Ave,ON,N9A 1H9,Canada,RaquelTOSullivan@gustr.com,519-919-6675,Asian Solutions,RobotMarketing.ca,RaquelTOSullivan,RaquelTOSullivan,38.82.155.239
Mrs.,Debra,Shackelford,Longueuil,1879 rue Saint-Charles,QC,J4H 1M3,Canada,DebraCShackelford@dayrep.com,450-463-1825,Lum's,BetterSearchTool.ca,DebraCShackelford,DebraCShackelford,93.213.3.76
Ms.,Marcia,Hibbard,Pritchard,4251 Blind Bay Road,BC,V0E 2P0,Canada,MarciaBHibbard@fleckens.hu,250-577-9200,Stop N Shop,DishRebates.ca,MarciaBHibbard,MarciaBHibbard,52.122.202.53
Mr.,Thomas,Domingue,Hummelstown,1988 Lincoln Drive,PA,17036,United States,ThomasJDomingue@armyspy.com,717-566-3468,Holly Tree Inn,ThinkingMeds.com,ThomasJDomingue,ThomasJDomingue,235.234.136.88
Mr.,Jeremy,Newell,Oshtemo,600 Shingleton Road,MI,49077,United States,JeremyJNewell@fleckens.hu,269-372-6669,Leo's Stereo,ZBlvd.com,JeremyJNewell,JeremyJNewell,10.248.239.100
Mr.,Justin,Waller,Johannesburg,1348 President St,Gauteng,2102,South Africa,JustinRWaller@cuvox.de,083 324 8545,LoRay,SecurityWorkshops.co.za,JustinRWaller,JustinRWaller,34.126.122.243
Ms.,Brenda,Bolton,Temba,2143 Robertson Ave,North West,505,South Africa,BrendaWBolton@dayrep.com,083 411 4857,Huffman and Boyle,GuyHumor.co.za,BrendaWBolton,BrendaWBolton,54.128.70.146
Ms.,Renee,Smith,WATTLE RIDGE,44 Railway Street,QLD,4357,Australia,ReneeTSmith@teleworm.us,(07) 4527 1699,Linens 'n Things,ShowFever.com.au,ReneeTSmith,ReneeTSmith,218.13.78.2
Mr.,David,Cook,Ga-Maraba,1818 Mark Street,Limpopo,705,South Africa,DavidECook@dayrep.com,083 326 3665,Big Star Markets,CreditCardChronicles.co.za,DavidECook,DavidECook,94.232.240.187
Mrs.,June,Bond,St Barthelemy,1921 chemin Georges,QC,J0K 1X0,Canada,JuneLBond@superrito.com,450-885-5404,Realty Depot,NoteNews.ca,JuneLBond,JuneLBond,190.243.9.242
Mr.,James,Duffy,Greensboro,3716 Keyser Ridge Road,NC,27401,United States,JamesTDuffy@armyspy.com,336-508-1155,Reliable Guidance,AnonymousMortgage.com,JamesTDuffy,JamesTDuffy,110.211.41.91
Mr.,Jonathan,Lane,Nelspruit,1408 Ireland St,Mpumalanga,1220,South Africa,JonathanJLane@jourrapide.com,082 917 7446,Life Map,YouBlogs.co.za,JonathanJLane,JonathanJLane,190.176.178.200
Mr.,Peter,Howard,Vancouver,4514 Robson St,BC,V6B 3K9,Canada,PeterJHoward@armyspy.com,604-916-2079,Payless Cashways,FriendTraders.ca,PeterJHoward,PeterJHoward,169.163.46.203
Ms.,Irene,Martin,Ottawa,2312 Bank St,ON,K1H 7Z1,Canada,IreneGMartin@cuvox.de,613-818-9603,Helios Air,ForumJet.ca,IreneGMartin,IreneGMartin,34.167.191.88
Mr.,David,Jameson,MUGINCOBLE,52 Tooraweenah Road,NSW,2870,Australia,DavidLJameson@einrot.com,(02) 4069 4141,House Of Denmark,ModelSolar.com.au,DavidLJameson,DavidLJameson,41.6.233.4
Mr.,Lewis,Syed,Statesboro,107 Yorkie Lane,GA,30458,United States,LewisTSyed@gustr.com,912-682-3070,Record Bar,BetterSearchTool.com,LewisTSyed,LewisTSyed,18.57.6.112
Ms.,Nellie,Baird,Port Elizabeth,1930 Uitsig St,Eastern Cape,6204,South Africa,NellieABaird@armyspy.com,083 926 4318,Huyler's,CosmeticsCritic.co.za,NellieABaird,NellieABaird,34.245.44.224
,,,Port Elizabeth,1930 Uitsig St,Eastern Cape,6204,South Africa,,,,,,,34.245.44.224
,,,Port Elizabeth,1930 Uitsig St,Eastern Cape,6204,South Africa,,,,,,,34.245.44.224
,,,Port Elizabeth,1930 Uitsig St,Eastern Cape,6204,South Africa,,,,,,,34.245.44.224
,,,Port Elizabeth,1930 Uitsig St,Eastern Cape,6204,South Africa,,,,,,,34.245.44.224
